Token: Weight
----------------
14fn: 0.0003579407
periods: 0.0005920966
$=price: 0.0002550021
freedom: 0.0030600254
$4475: 0.0035525793
advocacy: 0.0006316653
94yr: 0.0048500253
developed: 0.0008083376
gc: 0.0010163803
platonian: 0.0020327605
particular: 0.0003825032
party: 0.0003579407
personality: 0.0011535179
symposium: 0.0018828603
13fn: 0.0003579407
answered: 0.0008881449
metaphysics: 0.0025412960
religion: 0.0010200086
politics: 0.0025412960
time: 0.0002020844
free: 0.0002960483
compared: 0.0008470987
93yr: 0.0020208440
psychology: 0.0002550021
accompanied: 0.0006830936
contribution: 0.0005685823
socrates: 0.0389665402
laws: 0.0026775221
role: 0.0022950191
92yr: 0.0004235494
judgement: 0.0016256486
government: 0.0006062532
fn=footnotes: 0.0002550021
virgil: 0.0010163803
objects: 0.0007371295
plato: 0.0365770943
black: 0.0002020844
meritsdemerits: 0.0010163803
compares: 0.0004410812
distinction: 0.0006062532
death: 0.0032214664
phaedo: 0.0091539789
regard: 0.0004718100
papers: 0.0002550021
universe: 0.0007002171
project: 0.0004410812
contradicts: 0.0008881449
dissention: 0.0010163803
discuss: 0.0005510504
origins: 0.0004410812
quality: 0.0008821624
view: 0.0026366839
viewing: 0.0006431656
components: 0.0005510504
explain: 0.0006316653
review: 0.0005920966
10fn: 0.0006591710
idea: 0.0005100043
moral: 0.0015950095
knowledge: 0.0048518931
probing: 0.0010163803
communications: 0.0002020844
imbalance: 0.0008881449
examines: 0.0040800343
rejection: 0.0016941974
18fn: 0.0004041688
practicality: 0.0010163803
portrayals: 0.0009414302
persuasive: 0.0009414302
inquiry: 0.0018949958
concerned: 0.0004718100
aesthetic: 0.0015681986
educators: 0.0008881449
15s: 0.0004410812
descartes: 0.0017762898
times: 0.0002960483
examined: 0.0004981327
debate: 0.0016531512
emphasis: 0.0008470987
noting: 0.0004041688
convincing: 0.0008128243
totalitarian: 0.0008470987
lived: 0.0012633306
17fn: 0.0007650063
trial: 0.0010200086
look: 0.0006591710
intensive: 0.0007840993
stood: 0.0008470987
classes: 0.0005685823
rousseau: 0.0008881449
opposites: 0.0008881449
historians: 0.0008128243
athenian: 0.0009414302
