Token: Weight
----------------
mutatvanycikkei: 0.0004139509
president: 0.0020135015
szinte: 0.0002205889
holding: 0.0002205889
szent: 0.0004245123
developed: 0.0003292194
ellenorzesi: 0.0003617233
chance: 0.0002411489
prosecutorgenerals: 0.0004139509
diktatura: 0.0003091930
roppant: 0.0004139509
jel: 0.0003834253
deputy: 0.0006367685
declared: 0.0002619482
movement: 0.0004027003
hetilapokbol: 0.0002077143
mindezt: 0.0002572644
felrevezette: 0.0004139509
tavalyi: 0.0002725174
ugyeben: 0.0007407438
itthon: 0.0003091930
tole: 0.0003091930
illetve: 0.0006231430
kulfoldre: 0.0002930774
kormanyra: 0.0003193477
preparations: 0.0003617233
szekeret: 0.0004139509
letezett: 0.0003834253
gyulanak: 0.0003617233
meet: 0.0001646097
maria: 0.0002663564
akadalyozzak: 0.0003834253
hatalmat: 0.0002572644
alapul: 0.0003617233
european: 0.0003115715
multe: 0.0004139509
maga: 0.0008977265
authorities: 0.0002077143
tervezik: 0.0003834253
demokraciakban: 0.0006900121
otlet: 0.0003450060
annak: 0.0005389302
fel: 0.0007446480
ministers: 0.0007858447
atelik: 0.0009320572
tudnak: 0.0004698043
resignation: 0.0003310468
vezerigazgatoja: 0.0007668506
esti: 0.0002280868
jellemezte: 0.0004139509
sajtotajekoztaton: 0.0002663564
nem: 0.0113175325
rejection: 0.0003450060
biggest: 0.0002619482
kiterjeszteni: 0.0004139509
fia: 0.0003450060
nszv: 0.0004411777
visited: 0.0002725174
biztosra: 0.0004139509
fogalmi: 0.0008279019
ezzel: 0.0011529515
vagyunk: 0.0006732948
inquiry: 0.0002572644
mikhailov: 0.0003617233
conversation: 0.0003310468
eppen: 0.0009885527
modositasanak: 0.0009931403
aldozat: 0.0003617233
mellett: 0.0007908422
legyunk: 0.0003091930
noveli: 0.0003091930
palyazatok: 0.0004139509
tanuzasra: 0.0009320572
formally: 0.0003091930
barkit: 0.0003834253
palyazatot: 0.0003450060
vagy: 0.0014371470
prospects: 0.0002077143
feketepiac: 0.0009320572
join: 0.0004411777
cutting: 0.0002619482
technikaval: 0.0009320572
broke: 0.0003450060
journalists: 0.0002205889
barabanov: 0.0023301430
including: 0.0001557858
days: 0.0003292194
peoples: 0.0006732948
predict: 0.0003002178
520: 0.0003310468
oldalt: 0.0003834253
termek: 0.0003002178
osszefogasa: 0.0004139509
magyar: 0.0041317977
suspend: 0.0003617233
jelzeseket: 0.0004139509
unions: 0.0002663564
fugg: 0.0003091930
lenyeges: 0.0003091930
szemben: 0.0008115172
letrejott: 0.0006900121
consumer: 0.0001921586
igazabol: 0.0003450060
keretek: 0.0004139509
policies: 0.0001457820
hitler: 0.0002725174
targyalasok: 0.0003091930
gazdalkodas: 0.0004139509
march: 0.0001725030
personnel: 0.0001921586
felesege: 0.0007234466
nagyobb: 0.0008490246
basic: 0.0001725030
priority: 0.0002522681
jar: 0.0004881744
itartass: 0.0015710214
felszerelt: 0.0004139509
stating: 0.0002663564
majd: 0.0010778604
tensions: 0.0003617233
fogadja: 0.0002930774
station: 0.0002244316
2122: 0.0003617233
karpinskiczech: 0.0003834253
infoomricz: 0.0002522681
bryansk: 0.0008279019
double: 0.0002725174
country: 0.0002684669
speech: 0.0002028793
borba: 0.0003450060
elected: 0.0002572644
spas: 0.0004139509
budapesten: 0.0002440872
brass: 0.0004139509
gabor: 0.0004411777
gazdasaga: 0.0003310468
keresztenyek: 0.0003834253
nap: 0.0002469146
latta: 0.0002315720
