Token: Weight
----------------
brave: 0.0005983086
14fn: 0.0009099306
ralph: 0.0004983199
bright: 0.0004983199
portray: 0.0005983086
particular: 0.0004861857
chance: 0.0003762961
creates: 0.0004450101
religion: 0.0001620619
cleaver: 0.0005983086
incorporate: 0.0005165755
time: 0.0001284310
ironic: 0.0012918835
compared: 0.0013458950
married: 0.0004684691
materials: 0.0002904929
londons: 0.0006459418
faulkner: 0.0010331511
movement: 0.0002094620
psychology: 0.0004861857
speculation: 0.0005165755
advanced: 0.0003241238
role: 0.0006482477
fn=footnotes: 0.0001620619
generation: 0.0003808811
arthur: 0.0004684691
billy: 0.0008900202
impressions: 0.0005983086
compares: 0.0014016052
notion: 0.0008900202
comic: 0.0011288882
troubled: 0.0005983086
stressing: 0.0007118273
locust: 0.0006459418
told: 0.0002998502
offers: 0.0005383580
respectively: 0.0017510498
goddess: 0.0006459418
evolution: 0.0005809859
neighbors: 0.0005644441
contends: 0.0003613520
european: 0.0002430929
native: 0.0003665485
cafe: 0.0004983199
wealth: 0.0004087521
uncle: 0.0014949597
10fn: 0.0016756959
brooklyn: 0.0005983086
resignation: 0.0005165755
gordon: 0.0004824742
unique: 0.0003085136
knowledge: 0.0002803211
moral: 0.0003378930
communications: 0.0001284310
behavior: 0.0008409631
sawyer: 0.0004450101
comparing: 0.0004156307
john: 0.0033392066
imaginary: 0.0005983086
fantasy: 0.0010767160
authority: 0.0024226110
18fn: 0.0005137241
rejects: 0.0005165755
lithuanian: 0.0005644441
times: 0.0007525922
emphasis: 0.0002691790
noting: 0.0010274482
flannery: 0.0006459418
sophisticated: 0.0004156307
tragic: 0.0004156307
elizabeth: 0.0005165755
preferences: 0.0005644441
classes: 0.0003613520
tone: 0.0004573270
opposites: 0.0005644441
cranes: 0.0025837671
microcosm: 0.0006459418
salvation: 0.0005165755
invisible: 0.0016150740
introduces: 0.0004983199
meaning: 0.0012340544
pirsig: 0.0014544107
gilded: 0.0006459418
holocaust: 0.0004450101
essentially: 0.0003936469
21pgs: 0.0003085136
toms: 0.0023932345
red: 0.0012663163
including: 0.0002430929
swindler: 0.0014544107
copy1996: 0.0001620619
dickens: 0.0005644441
zen: 0.0011288882
analyses: 0.0008175041
novels: 0.0041159433
public: 0.0001284310
kurt: 0.0016933325
physical: 0.0004861857
basis: 0.0002568621
change: 0.0006283859
styron: 0.0012918835
kate: 0.0005644441
dialogue: 0.0019298968
architecture: 0.0001620619
fate: 0.0008682551
planet: 0.0004573270
trapped: 0.0005644441
march: 0.0002691790
grapes: 0.0005644441
updated: 0.0001284310
description: 0.0003241238
perspective: 0.0002803211
fathers: 0.0005383580
criticizing: 0.0004824742
guilt: 0.0009369382
passivity: 0.0006459418
cervantes: 0.0011966173
luck: 0.0005383580
seminal: 0.0005165755
rivers: 0.0005383580
whitmans: 0.0005983086
jay: 0.0005383580
criticism: 0.0011288883
virtually: 0.0004341275
carol: 0.0010767160
rural: 0.0004824742
country: 0.0004189240
particularly: 0.0006824479
14pgs: 0.0004861857
secrets: 0.0004341275
talks: 0.0003559137
economics: 0.0001620619
day: 0.0003762961
carson: 0.0006459418
lear: 0.0010767160
religious: 0.0014992508
van: 0.0002274826
ray: 0.0004824742
reflections: 0.0005383580
sentences: 0.0004573270
prejudiced: 0.0006459418
cheever: 0.0014544107
baldwins: 0.0006459418
byrd: 0.0003936469
analysis: 0.0042382241
education: 0.0003852931
oedipal: 0.0006459418
bertolt: 0.0006459418
business: 0.0002568621
