Token: Weight
----------------
14fn: 0.0017353143
multiinfarct: 0.0110947350
limited: 0.0020533882
$=price: 0.0012362630
discussion: 0.0043057702
$4475: 0.0028705136
advocacy: 0.0030623446
metropolitan: 0.0036804758
treatment: 0.0063913865
profession: 0.0026715198
retardation: 0.0045640999
7pgs: 0.0057410272
13s: 0.0041067763
religion: 0.0012362630
1970: 0.0036804758
nature: 0.0015978466
pgs=pages: 0.0012362630
alzheimers: 0.0136922989
psychology: 0.0012362630
chemical: 0.0058782911
role: 0.0061813141
cage: 0.0043057702
fn=footnotes: 0.0012362630
black: 0.0009797151
disturbance: 0.0045640999
hypnosis: 0.0049274615
patterns: 0.0022873580
catalog: 0.0012362630
psychological: 0.0022159780
papers: 0.0012362630
effects: 0.0079892324
copyright: 0.0006181315
0s: 0.0028705136
expanded: 0.0030028708
observes: 0.0014352568
models: 0.0024149721
system: 0.0009797151
$9845: 0.0015978466
defines: 0.0026257776
instrumental: 0.0041067763
quality: 0.0021383835
components: 0.0026715198
low: 0.0021383835
frustrations: 0.0049274615
review: 0.0014352568
hospital: 0.0074175773
10fn: 0.0031956933
complex: 0.0021383835
communications: 0.0009797151
examines: 0.0037087887
pms: 0.0049274615
18fn: 0.0019594303
critical: 0.0012362630
personal: 0.0012362630
utilization: 0.0032439088
patient: 0.0026715198
84yr: 0.0031956933
written: 0.0009797151
83yr: 0.0031956933
commentsa1termpapercom: 0.0012362630
90yr: 0.0028705136
mao: 0.0078812242
look: 0.0015978466
87yr: 0.0024725259
20s: 0.0025775617
88yr: 0.0015978466
$8950: 0.0043057702
nervosa: 0.0197098460
increasing: 0.0022873580
21pgs: 0.0023534459
outpatient: 0.0036804758
pica: 0.0110947350
history: 0.0009797151
wards: 0.0045640999
including: 0.0012362630
overview: 0.0017353143
pattern: 0.0034886447
practice: 0.0024725259
yr=year: 0.0012362630
copy1996: 0.0012362630
comments: 0.0009797151
treatments: 0.0033946871
methods: 0.0015978466
amendment: 0.0025265894
body: 0.0020533882
physical: 0.0055631828
affects: 0.0025265894
settings: 0.0033946871
