Token: Weight
----------------
president: 0.0021278854
koncentracios: 0.0011365452
attended: 0.0003194182
ellenorzest: 0.0005047694
szent: 0.0007764718
kore: 0.0004410833
kora: 0.0005047694
fizetesi: 0.0003392478
mnmdf: 0.0005047694
deputy: 0.0002588239
movement: 0.0003273670
kegyeleti: 0.0005047694
hetilapokbol: 0.0002532857
elozo: 0.0005473412
mindezt: 0.0003137067
tavalyi: 0.0003323062
szintre: 0.0003770281
rola: 0.0006495870
londoni: 0.0010982516
borders: 0.0003894107
csehorszagot: 0.0004675466
illetve: 0.0007598570
uzembena: 0.0011365452
belfoldi: 0.0004675466
told: 0.0011715853
possibly: 0.0003660839
koreben: 0.0003392478
meet: 0.0004014483
hatalmas: 0.0003137067
csehorszag: 0.0007540563
hatalmat: 0.0003137067
partban: 0.0004206984
reagalva: 0.0004410833
european: 0.0007598570
amelyben: 0.0006021725
tervezik: 0.0004675466
aprilisban: 0.0004206984
annak: 0.0013143366
fel: 0.0009080195
harommillio: 0.0004206984
ertelmisegiek: 0.0004206984
melynek: 0.0003010862
kepviseloinek: 0.0004036765
tudnak: 0.0002864383
horns: 0.0004675466
isaz: 0.0004206984
kulkereskedelmi: 0.0003894107
esti: 0.0002781278
sajtotajekoztaton: 0.0006495870
nem: 0.0102956360
nep: 0.0002736706
megye: 0.0004675466
bakterium: 0.0005047694
bizottsagban: 0.0004675466
ugyvedje: 0.0004675466
nszv: 0.0005379696
mertek: 0.0004206984
semmiert: 0.0004675466
vagyunk: 0.0005473412
ezzel: 0.0007029512
valaszolva: 0.0008073531
csaladi: 0.0006495870
igencsak: 0.0016147061
nyugdijasoknak: 0.0005047694
eppen: 0.0009643484
modositasanak: 0.0004036765
aldozat: 0.0004410833
demanded: 0.0003392478
mellett: 0.0007232613
elbocsatas: 0.0005047694
legyunk: 0.0003770281
rendorsega: 0.0005047694
experts: 0.0002976385
dokumentumok: 0.0012620951
januarjaban: 0.0010095388
januar: 0.0015081125
illegal: 0.0002736706
ensz: 0.0003894107
utjat: 0.0004410833
airborne: 0.0004036765
figyelmeztetes: 0.0005047694
kezdetet: 0.0005047694
lawyers: 0.0003010862
vagy: 0.0010952804
bizalmi: 0.0008413967
alkalmaz: 0.0004410833
red: 0.0002473899
including: 0.0000633214
ferfi: 0.0003573769
dokumentumot: 0.0004410833
days: 0.0002007241
hirt: 0.0003573769
bejegyzett: 0.0004036765
alapozott: 0.0004206984
polgarmester: 0.0003323062
alkalmas: 0.0003392478
alkalmat: 0.0003894107
magyar: 0.0043811216
gyozelme: 0.0004036765
vezetoseg: 0.0004206984
germanys: 0.0003894107
zartak: 0.0004675466
templomok: 0.0004675466
engedik: 0.0004410833
nyugdijak: 0.0005047694
szemben: 0.0002473899
erzek: 0.0005047694
nyugdijas: 0.0004410833
capital: 0.0002007241
gazdalkodas: 0.0005047694
tanui: 0.0005047694
vallott: 0.0004675466
rogzitett: 0.0003770281
novekszik: 0.0004036765
nagyobb: 0.0010352958
jar: 0.0005952770
keretet: 0.0005047694
rendorsegi: 0.0003894107
jan: 0.0003137067
itartass: 0.0008210118
integracio: 0.0004036765
