Token: Weight
----------------
total: 0.0023641100
president: 0.0040740906
punitive: 0.0024231132
placing: 0.0022779617
2002: 0.0025118825
fy: 0.0031409343
party: 0.0011061493
americorps: 0.0062818686
threefifths: 0.0058186296
government: 0.0006245043
favorable: 0.0045559234
limits: 0.0017029189
defenses: 0.0021109737
death: 0.0022122986
companies: 0.0026178011
ratification: 0.0022779617
kassebaum: 0.0109785860
cloture: 0.0188456047
taxpayer: 0.0052356021
affirmative: 0.0022779617
aid: 0.0013089005
abortions: 0.0052356021
reauthorization: 0.0062818686
missile: 0.0021109737
debate: 0.0017029189
current: 0.0007880367
5247: 0.0031409343
prevented: 0.0022779617
organizations: 0.0024980172
increasing: 0.0014580410
cutting: 0.0039751674
labor: 0.0013089005
including: 0.0003940183
gains: 0.0017570978
strikes: 0.0024231132
antimissile: 0.0027446465
amendment: 0.0644214079
garner: 0.0031409343
physical: 0.0011820550
congress: 0.0027261588
award: 0.0019141336
consumer: 0.0014580410
$17: 0.0029093148
capital: 0.0012490086
policies: 0.0011061493
striking: 0.0024231132
fbi: 0.0041355593
balance: 0.0029160820
march: 0.0039267014
affairs: 0.0014580410
passage: 0.0128083518
kerry: 0.0052356021
motion: 0.0182976443
convicted: 0.0020210315
code: 0.0013630794
executive: 0.0028250816
items: 0.0019141336
constitutional: 0.0061575463
120: 0.0018735129
day: 0.0009148822
credited: 0.0026178011
3266: 0.0026178011
bill: 0.0209424086
measure: 0.0016737613
department: 0.0011820550
promotion: 0.0018735129
$1: 0.0025118825
$3: 0.0024231132
legislative: 0.0017029189
commonlyused: 0.0031409343
helms: 0.0095706675
offset: 0.0022237827
voting: 0.0037470257
activity: 0.0011820550
projected: 0.0021109737
individuals: 0.0026178011
population: 0.0024980172
law: 0.0007880367
stamp: 0.0026178011
requirement: 0.0015760734
equal: 0.0017029189
appropriated: 0.0031409343
authorize: 0.0027446465
surgeon: 0.0027446465
color: 0.0016430268
liability: 0.0034613069
impose: 0.0022779617
rewrite: 0.0031409343
limiting: 0.0021109737
social: 0.0007880367
rejected: 0.0248837359
murderers: 0.0027446465
report: 0.0006245043
doctors: 0.0019875837
activities: 0.0010185227
nations: 0.0015393866
programs: 0.0020370453
ban: 0.0019875837
services: 0.0023641100
$130: 0.0031409343
delivers: 0.0027446465
welfare: 0.0053470987
damages: 0.0021109737
earlier: 0.0014125408
funds: 0.0043741227
branch: 0.0019520442
pays: 0.0021638907
delay: 0.0018520594
voted: 0.0021109737
bar: 0.0011820550
home: 0.0006245043
development: 0.0006245043
votes: 0.0074940515
$245: 0.0027446465
protect: 0.0013630794
allowing: 0.0017029189
supported: 0.0316277593
september: 0.0084752450
cuts: 0.0057424004
similar: 0.0011820550
$25000: 0.0027446465
thurmond: 0.0019141336
recipients: 0.0039040884
larger: 0.0018297645
foster: 0.0042219474
marriage: 0.0018735129
dorgan: 0.0022779617
product: 0.0045005027
cut: 0.0039040884
partially: 0.0024231132
individual: 0.0010185227
jr: 0.0016737613
tougher: 0.0029093148
nomination: 0.0082339393
chinese: 0.0017823663
provisions: 0.0018520594
action: 0.0012490086
required: 0.0049960343
credit: 0.0014125408
penalty: 0.0062033385
joint: 0.0028250816
overturned: 0.0025118825
november: 0.0028250816
selfexecutable: 0.0031409343
targeted: 0.0021109737
flag: 0.0045559234
included: 0.0013630794
3661: 0.0029093148
expansion: 0.0014125408
resolution: 0.0105011733
includes: 0.0007880367
add: 0.0017570978
rate: 0.0012490086
arms: 0.0019520442
disarmament: 0.0022237827
receive: 0.0026178011
major: 0.0007880367
drug: 0.0015393866
revenue: 0.0019520442
zip: 0.0029093148
$210: 0.0029093148
ablebodied: 0.0031409343
agency: 0.0037470255
dole: 0.0017823663
kyl: 0.0025118825
pass: 0.0060630944
iras: 0.0025118825
troops: 0.0016737613
aids: 0.0017823663
