Token: Weight
----------------
alliance: 0.0017542414
president: 0.0024508701
advertisers: 0.0035003410
institutional: 0.0026034843
attended: 0.0023913605
freedom: 0.0056887558
columns: 0.0075580273
party: 0.0026617260
continued: 0.0016994979
assailants: 0.0035003410
politics: 0.0015748031
free: 0.0022014803
role: 0.0018962520
government: 0.0067623486
generation: 0.0022283045
black: 0.0007513721
contentious: 0.0037790136
death: 0.0013308630
papers: 0.0009481260
purchased: 0.0027407287
editor: 0.0024878480
authorities: 0.0056887562
beholden: 0.0037790136
opening: 0.0022283045
view: 0.0012254351
founding: 0.0033022205
de: 0.0022541161
side: 0.0017542414
left: 0.0032799770
demanded: 0.0025398172
honored: 0.0037790136
weekly: 0.0047827209
monopoly: 0.0112906564
tone: 0.0026755433
violence: 0.0018521122
waves: 0.0028226641
morning: 0.0027407287
fire: 0.0020488661
journalists: 0.0261792075
labor: 0.0015748031
independent: 0.0042665671
provincial: 0.0033022205
el: 0.0022014803
country146s: 0.0037790136
wealthy: 0.0035003410
profiles: 0.0030221702
public: 0.0015027442
shooting: 0.0035003410
edition: 0.0053510866
publishers: 0.0029153675
change: 0.0024508701
losing: 0.0023029891
driving: 0.0025398172
precedent: 0.0033022205
award: 0.0046059783
close: 0.0016994979
suspicion: 0.0029153675
light: 0.0014221889
key: 0.0011007402
forced: 0.0021140515
documented: 0.0027407287
motive: 0.0033022205
cambio: 0.0030221702
learn: 0.0020488661
convicted: 0.0024316034
eager: 0.0033022205
longtime: 0.0035003410
virtually: 0.0025398172
country: 0.0024508701
careers: 0.0029153675
investigations: 0.0022283045
rally: 0.0035003410
decided: 0.0040977322
played: 0.0040977322
elected: 0.0023486011
serving: 0.0023486011
example: 0.0039925892
justice: 0.0015748031
set: 0.0011007402
texas: 0.0015748031
sentences: 0.0026755433
business: 0.0007513721
courageous: 0.0070006819
following: 0.0011007402
circulation: 0.0028226641
wake: 0.0031496063
name: 0.0015027442
formed: 0.0020488661
orchestrated: 0.0037790136
talk: 0.0023029891
zeta146s: 0.0170177501
diego: 0.0050796345
requirement: 0.0018962520
trafficking: 0.0029153675
edit: 0.0035003410
colleague: 0.0030221702
sea: 0.0016994979
masthead: 0.0033022205
reprisal: 0.0070006819
abc: 0.0090665109
newly: 0.0022541163
government146s: 0.0033022205
reproduced: 0.0037790136
street: 0.0015748031
editors: 0.0054814573
historic: 0.0025398172
centerright: 0.0035003410
break: 0.0022541163
social: 0.0018962520
tumultuous: 0.0037790136
import: 0.0024316034
border: 0.0046972022
contradictory: 0.0033022205
move: 0.0018049261
entering: 0.0021140515
elect: 0.0029153675
mexican: 0.0416557491
manufacturers: 0.0024878480
murdered: 0.0052069686
questions: 0.0012254351
son: 0.0018962520
powerful: 0.0044029607
mexico146s: 0.0170177501
publications: 0.0015748031
enabling: 0.0037790136
spawned: 0.0037790136
committee: 0.0015748031
jesus: 0.0037790136
reporting: 0.0020488661
newspaper: 0.0081954645
persecution: 0.0030221702
investigative: 0.0056453282
hardhitting: 0.0037790136
occurred: 0.0018962520
protect: 0.0016399885
build: 0.0022541163
followed: 0.0020822349
inspiring: 0.0035003410
apparent: 0.0024878480
tucson: 0.0037790136
published: 0.0017542414
inspired: 0.0028226641
similar: 0.0014221889
recipients: 0.0023486011
officials: 0.0050984938
star: 0.0026034843
abide: 0.0033022205
hector: 0.0037790136
pressures: 0.0028226641
opted: 0.0035003410
indepth: 0.0020822349
fired: 0.0024316034
cause: 0.0018521122
remains: 0.0022014803
recognition: 0.0021140515
miranda: 0.0035003410
subtle: 0.0031496063
rare: 0.0033022205
action: 0.0015027442
sets: 0.0024316034
investigation: 0.0030054883
controlled: 0.0022283045
opposition: 0.0032799770
offering: 0.0020488661
owned: 0.0023913605
targeted: 0.0025398172
late: 0.0033989958
issues: 0.0009481260
la: 0.0026617260
interference: 0.0028226641
included: 0.0016399885
recognized: 0.0023913605
writing: 0.0031496063
war: 0.0012254351
suffered: 0.0024878480
recourse: 0.0035003410
politician: 0.0031496063
drug: 0.0037042245
feacutelix146s: 0.0170177501
agenda: 0.0026034843
businessmen: 0.0030221702
political: 0.0060109766
past: 0.0012254351
daily: 0.0032799770
print: 0.0022283045
balanced: 0.0025398172
ongoing: 0.0023486011
paso: 0.0037790136
threatens: 0.0030221702
revolutionary: 0.0022014803
salinas: 0.0075580273
found: 0.0013308630
blancornelas: 0.0723254383
associate: 0.0029153675
lingering: 0.0033022205
bribes: 0.0085088750
presidential: 0.0016399885
sonora: 0.0037790136
1977: 0.0023029891
1979: 0.0026034843
don146t: 0.0026755433
bullets: 0.0033022205
volatile: 0.0035003410
ciudad: 0.0035003410
california: 0.0042665671
ernesto: 0.0037790136
international: 0.0028443781
neighborhood: 0.0033022205
1990: 0.0033989958
1980: 0.0049756961
1981: 0.0024316034
leading: 0.0012254351
corruption: 0.0044566090
independence: 0.0040977322
1988: 0.0044566090
1989: 0.0040977322
climb: 0.0035003410
press: 0.0110289156
killed: 0.0021444533
common: 0.0014221889
stayed: 0.0037790136
advertising: 0.0023029891
threats: 0.0023913605
feisty: 0.0037790136
date: 0.0016399885
21: 0.0013308630
critical: 0.0018962520
personal: 0.0009481260
figure: 0.0020488661
life: 0.0018962520
survive: 0.0025398172
truth: 0.0023913605
arizona: 0.0016399885
1994: 0.0012254351
feacutelix: 0.0297810640
scrutiny: 0.0029153675
publish: 0.0056453282
site: 0.0015027442
previous: 0.0033989958
news: 0.0026617260
aftermath: 0.0025398172
historically: 0.0022283045
eventually: 0.0023486011
10: 0.0009481260
picked: 0.0031496063
narrow: 0.0027407287
remain: 0.0018962520
practice: 0.0018962520
printed: 0.0084679918
subsidies: 0.0033022205
newspapers: 0.0135246972
predecessors: 0.0037790136
fear: 0.0018962520
provide: 0.0024508701
exported: 0.0035003410
candidate: 0.0022541163
outright: 0.0031496063
irish: 0.0024316034
served: 0.0022541163
handled: 0.0024878480
columnist: 0.0070006819
decades: 0.0048632068
instance: 0.0023029891
cpj: 0.0074635441
demand: 0.0017542414
traumatic: 0.0033022205
control: 0.0018962520
mexico: 0.0042665671
effort: 0.0018962520
providing: 0.0015027442
cost: 0.0030054883
economic: 0.0011007402
uphill: 0.0037790136
widely: 0.0022283045
awards: 0.0044566090
carlos: 0.0052069686
foreign: 0.0011007402
gov: 0.0056453282
result: 0.0013308630
ruffo: 0.0085088750
cat: 0.0033022205
forum: 0.0017542414
opposite: 0.0031496063
stability: 0.0023486011
dismissal: 0.0027407287
regions: 0.0018521122
tijuana: 0.0425443761
empowered: 0.0035003410
suspects: 0.0033022205
leaving: 0.0022541163
incomplete: 0.0030221702
quo: 0.0029153675
journal: 0.0024878480
ranging: 0.0022541163
unusual: 0.0026755433
fabric: 0.0035003410
threatened: 0.0022541163
cabinet: 0.0024878480
harassment: 0.0026034843
helped: 0.0049756961
happenings: 0.0035003410
newsprint: 0.0188950691
soon: 0.0018962520
assassinated: 0.0105010234
pri: 0.0170177501
viewpoints: 0.0022014803
coverage: 0.0054147784
prohibited: 0.0026755433
bypass: 0.0033022205
employees: 0.0018049261
journalism: 0.0050796345
risks: 0.0020488661
revolution: 0.0016994979
governor: 0.0024878480
bring: 0.0017542414
drama: 0.0026755433
went: 0.0021444533
city: 0.0012254351
authors: 0.0020822349
avoid: 0.0020137853
bribetaking: 0.0212721881
page: 0.0007513721
sales: 0.0020488661
luis: 0.0031496063
refused: 0.0023029891
exchange: 0.0016994979
journalist: 0.0023913605
paper146s: 0.0085088750
thousands: 0.0022541163
insisted: 0.0030221702
riddled: 0.0037790136
national: 0.0007513721
guardians: 0.0033022205
baja: 0.0104139373
san: 0.0033989958
takeover: 0.0031496063
funeral: 0.0029153675
1910: 0.0037790136
roberto: 0.0030221702
madrid: 0.0035003410
criticized: 0.0024878480
block: 0.0018521122
believed: 0.0022014803
sell: 0.0022014803
union: 0.0014221889
outrage: 0.0030221702
money: 0.0026617260
reporters: 0.0076194517
campaign: 0.0015748031
silenced: 0.0037790136
frequently: 0.0018962520
launched: 0.0025398172
speak: 0.0026034843
establish: 0.0020488661
hallmark: 0.0037790136
established: 0.0016994979
prestigious: 0.0037790136
prison: 0.0020488661
unidentified: 0.0033022205
radio: 0.0016399885
spirit: 0.0022283045
zeta: 0.0467988141
broker: 0.0031496063
despite: 0.0019377149
buy: 0.0023029891
pioneer: 0.0030221702
courage: 0.0066044410
habits: 0.0048632068
bold: 0.0019377149
police: 0.0018521122
unresolved: 0.0028226641
power: 0.0011007402
directly: 0.0033989958
commentators: 0.0035003410
refusal: 0.0024316034
murder: 0.0104111750
status: 0.0012254351
herald: 0.0037790136
flattering: 0.0037790136
intellectual: 0.0020822349
class: 0.0015748031
bloodiest: 0.0037790136
stories: 0.0020488661
popular: 0.0016994979
assassination: 0.0056453282
fighting: 0.0023913605
policy: 0.0022014803
known: 0.0014221889
media: 0.0007513721
allow: 0.0016399885
