Token: Weight
----------------
limited: 0.0025974025
benefit: 0.0028030679
treatment: 0.0020211721
profession: 0.0033792988
specialist: 0.0048084632
metabolic: 0.0057732896
practitioners146: 0.0140341185
received: 0.0023456882
nonconventional: 0.0062329187
time: 0.0012392760
promoting: 0.0041033337
forward: 0.0035369555
government: 0.0012392760
don146t: 0.0176516362
this148: 0.0062329187
urges: 0.0054465192
prove: 0.0039441921
onethird: 0.0057732896
afraid: 0.0051948051
147i: 0.0108930385
opening: 0.0036752555
lot: 0.0039441921
conflict: 0.0025974025
indicates: 0.0041890489
dangers: 0.0041033337
147there: 0.0062329187
hospital: 0.0125103379
try: 0.0031959713
hospitalization: 0.0051948051
idea: 0.0031275845
smooth: 0.0044129090
unique: 0.0059539117
referring: 0.0049846182
common: 0.0023456882
expensive: 0.0040105665
biggest: 0.0039441921
147we: 0.0108930385
1996: 0.0024785521
personal: 0.0015637922
patient: 0.0033792988
division: 0.0031275845
1994: 0.0020211721
wellbeing: 0.0051948051
spades: 0.0062329187
convincing: 0.0049846182
tell: 0.0036752555
foundation: 0.0032604481
dr: 0.0025974025
pronounced: 0.0051948051
traditional: 0.0025974025
jun: 0.0057732896
eventually: 0.0038736667
standards: 0.0025974025
field: 0.0025974025
institute: 0.0285714287
practice: 0.0031275845
library: 0.0063919425
documentation: 0.0042940583
testing: 0.0070739109
successful: 0.0065208962
october: 0.0074356562
public: 0.0012392760
notes: 0.0021950598
bound: 0.0040105665
world: 0.0012392760
agree: 0.0037984364
methods: 0.0040423442
arise: 0.0045204223
centre: 0.0123100020
cheng: 0.0186987557
lead: 0.0029769558
mike: 0.0108930385
amount: 0.0028030679
takes: 0.0059539117
147all: 0.0062329187
medical: 0.0117284413
autumn: 0.0049846182
validity: 0.0044129090
adversarial: 0.0062329187
lifestyle: 0.0042940583
147if: 0.0057732896
care: 0.0049571041
147it: 0.0062329187
sees: 0.0038736667
perspective: 0.0027049161
80: 0.0024785521
bc: 0.0045204223
partnership: 0.0040105665
fields: 0.0034343356
shared: 0.0127838850
mainstream: 0.0045204223
canada: 0.0029769558
tells: 0.0041033337
association: 0.0023456882
protocols: 0.0054465192
alternative: 0.0259740259
executive: 0.0028030679
involved: 0.0065851794
mahony: 0.0631535351
efforts: 0.0023456882
serving: 0.0077473335
educational: 0.0024785521
require: 0.0031275845
way148: 0.0140341185
physicians: 0.0041033337
set: 0.0018155065
understanding: 0.0029769558
steven: 0.0054465192
there146s: 0.0062329187
education: 0.0049571041
acute: 0.0041033337
exploding: 0.0051948051
complementary: 0.0103896102
chiropractors: 0.0062329187
types: 0.0023456882
population: 0.0074356562
top: 0.0024785521
practitioners: 0.0048084632
regular: 0.0036310130
community: 0.0036310130
done148: 0.0062329187
medicines: 0.0217860769
hospitals: 0.0036752555
tremendous: 0.0042940583
representative: 0.0030547825
unit: 0.0031959713
school: 0.0046913764
approach: 0.0024785521
success: 0.0030547825
growth: 0.0023456882
involvement: 0.0028933592
daniel: 0.0034343356
improves: 0.0051948051
herbs: 0.0057732896
reason: 0.0028030679
concern: 0.0027049161
applies: 0.0037178281
determine: 0.0028030679
bring: 0.0028933592
people: 0.0024785521
maintaining: 0.0036310130
help: 0.0087802391
fail: 0.0041033337
correct: 0.0032604481
village: 0.0030547825
page: 0.0024785521
represented: 0.0038736667
blend: 0.0054465192
combine: 0.0041890489
credentials: 0.0057732896
doctors: 0.0118325762
tzu: 0.0259740259
information: 0.0023456884
support: 0.0046913768
pediatric: 0.0108930385
director: 0.0054098321
health: 0.0141482046
reality: 0.0031275845
147it146s: 0.0057732896
goal: 0.0033214379
tze: 0.0140341185
include: 0.0020211721
acupuncture: 0.0045204223
disciplines: 0.0054465192
committee: 0.0077922079
combination: 0.0038736667
western: 0.0043901196
approaches: 0.0030547825
children146s: 0.0140341185
reaction: 0.0031275845
plans: 0.0021950598
development: 0.0012392760
columbia: 0.0125671476
institutions: 0.0027049161
purposes: 0.0028933592
cultural: 0.0024785521
voiced: 0.0062329187
protect: 0.0027049161
trying: 0.0139472485
contact: 0.0020211721
vancouver: 0.0123100020
looking: 0.0081147486
concedes: 0.0062329187
patients: 0.0070739109
sailing: 0.0054465192
steadily: 0.0051948051
cheaper: 0.0057732896
believes: 0.0038736667
note: 0.0032604481
logo: 0.0024785521
96: 0.0028030679
diversity: 0.0042940583
guy: 0.0049846182
british: 0.0084092040
tremendously: 0.0062329187
147the: 0.0163395591
research: 0.0049571041
herbal: 0.0062329187
improving: 0.0036752555
design: 0.0023456882
incorporates: 0.0057732896
technology: 0.0021950598
cause: 0.0030547825
adds: 0.0046555628
chinese: 0.0035369555
changed: 0.0033792988
looks: 0.0020211721
centres: 0.0057732896
underlying: 0.0035369555
investigation: 0.0024785521
positive: 0.0031959713
head: 0.0027049161
medicine: 0.0046913768
we146re: 0.0140341185
symbol: 0.0044129090
majority: 0.0057867183
philosophies: 0.0034868121
conventional: 0.0037984364
program: 0.0015637922
chi: 0.0259740259
surprising: 0.0054465192
eastern: 0.0028030679
holistic: 0.0057732896
voice: 0.0029769558
issue: 0.0018155065
achieve: 0.0031275845
clinics: 0.0048084632
online: 0.0057867183
treating: 0.0045204223
staff: 0.0024785521
full: 0.0021950598
partners: 0.0041033337
147this: 0.0062329187
knowledgeable: 0.0057732896
stevens: 0.0110257668
various: 0.0015637922
acceptance: 0.0040105665
university: 0.0028933592
vision: 0.0029769558
demanding: 0.0046555628
skepticism: 0.0049846182
resource: 0.0034868121
cautions: 0.0062329187
potential: 0.0024785521
growing: 0.0025974025
past: 0.0020211721
section: 0.0032604481
pass: 0.0040105665
reception: 0.0054465192
wrong: 0.0037984364
benefits: 0.0025974025
wah: 0.0062329187
step: 0.0028933592
visions: 0.0106108664
