Token: Weight
----------------
gondolok: 0.0016612231
vonatra: 0.0040382179
jutottunk: 0.0017934781
emberek: 0.0009196181
szent: 0.0027588543
latva: 0.0015671973
aki: 0.0038916022
erre: 0.0017131959
minden: 0.0008065630
lehetett: 0.0011146201
kifejtette: 0.0010177338
vannak: 0.0042829900
mindezt: 0.0011146201
szintre: 0.0013396051
kis: 0.0018392361
tole: 0.0026792102
valami: 0.0009723692
elobbre: 0.0031343945
jugoszlaviat: 0.0016612231
bortonben: 0.0014947683
latnak: 0.0015671973
tudomany: 0.0014342886
tarsadalmilag: 0.0017934781
vilaggal: 0.0017934781
amelyiknek: 0.0017934781
keptelen: 0.0013007195
ha: 0.0094741927
kivalto: 0.0017934781
maga: 0.0009723692
reszuk: 0.0016612231
azisten: 0.0017934781
kerdeseket: 0.0013007195
evre: 0.0010575287
teheto: 0.0013836012
annak: 0.0031132814
nala: 0.0017934781
akik: 0.0032262518
rossz: 0.0010575287
amit: 0.0007783204
egeszsegesen: 0.0017934781
erosodott: 0.0016612231
arad: 0.0015671973
nepnek: 0.0012355848
hogyan: 0.0020066109
melyik: 0.0012355848
elte: 0.0014342886
nem: 0.0295761749
nep: 0.0038894769
homosexuals: 0.0016612231
talalja: 0.0014342886
de: 0.0067752646
ugyanolyan: 0.0014947683
masik: 0.0008999403
vagyunk: 0.0048618461
csaladi: 0.0011540120
kozel: 0.0010033054
elitelni: 0.0040382179
osszegezve: 0.0017934781
eszkoz: 0.0015671973
lezullott: 0.0040382179
mar: 0.0031132814
eppen: 0.0008565980
mas: 0.0008065630
iskola: 0.0011807051
iranyitani: 0.0015671973
hisz: 0.0038093498
gyonyoru: 0.0014342886
tortenelmet: 0.0016612231
hangja: 0.0015671973
vadoljak: 0.0013836012
neha: 0.0016612231
megtartom: 0.0017934781
kisebbsegnek: 0.0015671973
igazsag: 0.0025395665
ev: 0.0016650872
azzal: 0.0017131959
netan: 0.0012053691
szeretni: 0.0031343945
valaki: 0.0044997013
velemenynyilvanitas: 0.0016612231
ez: 0.0147880875
dissemination: 0.0010033054
biztositja: 0.0015671973
vagy: 0.0038916022
ciganyok: 0.0016612231
gonosz: 0.0100955451
konnyu: 0.0013396051
nepcsoport: 0.0017934781
szemelyeskapcsolatok: 0.0017934781
onzo: 0.0040382179
szolasszabadsag: 0.0014947683
nez: 0.0016612231
ahhoz: 0.0009196181
el: 0.0020895964
erte: 0.0010575287
negy: 0.0009381708
en: 0.0088425800
eletet: 0.0065035974
public: 0.0010697787
hova: 0.0013396051
es: 0.0290541928
er: 0.0011146201
magyar: 0.0054482426
